Dehashed name,WEM name (English),WEM name (日本語)
cq010100_0010,895544971.wem,840238447.wem
cq010100_0020,837341925.wem,692106716.wem
cq010100_0023,392411179.wem,831536818.wem
cq010100_0026,237526166.wem,391129061.wem
cq010100_0030,622786125.wem,133102891.wem
cq010100_0040,862003267.wem,131991265.wem
cq010100_0050,460659682.wem,216604042.wem
cq010100_0060,104246551.wem,1016521105.wem
cq010100_0065,532747918.wem,883183942.wem
cq010100_0070,702361103.wem,365416809.wem
cq010100_0080,314569806.wem,225616297.wem
cq010100_0090,950681697.wem,855743075.wem
cq010100_0095,692259158.wem,866573175.wem
cq010100_0100,785690610.wem,810647852.wem
cq010150_0010,648414817.wem,273844255.wem
cq010150_0020,608692781.wem,323579909.wem
cq010150_0025,227180647.wem,813813740.wem
cq010150_0030,570918047.wem,625823033.wem
cq010150_0040,25534712.wem,725660738.wem
cq010150_0045,470900839.wem,274581350.wem
cq010150_0050,471320125.wem,258993197.wem
cq010150_0060,518929389.wem,611188945.wem
cq010150_0070,1054813701.wem,6503642.wem
cq010150_0080,257074678.wem,671577144.wem
cq010200_0010,976098065.wem,423505319.wem
cq010200_0020,276704154.wem,523385511.wem
cq010200_0025,296724515.wem,833413652.wem
cq010300_0010,761331186.wem,414270937.wem
cq010300_0020,63823134.wem,827698026.wem
cq010300_0030,754186459.wem,765031986.wem
cq010300_0040,186590671.wem,254590778.wem
cq010300_0045,48790189.wem,571371555.wem
cq010300_0050,123822798.wem,382912179.wem
cq010300_0060,733102923.wem,309815036.wem
cq010400_0010,17425238.wem,185170735.wem
cq010400_0020,1050915401.wem,623404991.wem
cq010400_0030,960992169.wem,354796338.wem
cq010400_0035,479856000.wem,52091785.wem
cq010400_0040,965546283.wem,401541349.wem
cq010400_0045,168276617.wem,182839385.wem
cq010400_0050,419075210.wem,1056120583.wem
cq010400_0060,782643700.wem,59763251.wem
cq010400_0065,967676558.wem,724851077.wem
cq010400_0070,721552444.wem,895853184.wem
cq010400_0075,535147919.wem,386471127.wem
cq010400_0080,772024399.wem,84850354.wem
cq010400_0085,251581124.wem,103983943.wem
cq010400_0090,349610010.wem,780106860.wem
cq010400_0100,568487856.wem,1054548797.wem
cq010400_0110,66108017.wem,13083906.wem
cq010400_0120,221059119.wem,969998968.wem
cq010400_0125,562817765.wem,86769128.wem
cq010400_0130,13679212.wem,796917050.wem
cq010400_0135,807682378.wem,1619390.wem
cq010400_0140,173724975.wem,1042506389.wem
cq010400_0150,77119994.wem,539671245.wem
cq010400_0160,653548249.wem,400002991.wem
cq010400_0165,757061206.wem,479115326.wem
cq010400_0170,179462199.wem,441218113.wem
cq010400_0180,272093886.wem,290888127.wem
cq010400_0190,1054694276.wem,398670997.wem
cq010400_0195,289276066.wem,358397037.wem
cq010400_0200,905509184.wem,127251080.wem
cq010400_0210,599292862.wem,431699752.wem
cq010400_0215,33512629.wem,239266095.wem
cq010400_0220,544258102.wem,46341386.wem
cq010400_0230,1056234259.wem,186253177.wem
cq010400_0240,963061883.wem,934422074.wem
cq010400_0250,921604965.wem,399248971.wem
cq010400_0260,121088241.wem,585190955.wem
cq010400_0270,894338416.wem,501482004.wem
cq010400_0280,227249817.wem,810152486.wem
cq010400_0290,930990053.wem,573234371.wem
cq010400_0300,492602509.wem,413484041.wem
cq010400_0310,850840832.wem,86990002.wem
cq010400_0320,1771179.wem,428723753.wem
cq010400_0330,41492198.wem,272349720.wem
cq010400_0340,860250389.wem,75617869.wem
cq010400_0350,214173193.wem,322724843.wem
cq010400_0355,99119244.wem,296637637.wem
cq010400_0360,62346122.wem,726428753.wem
cq010500_0010,510311729.wem,64884846.wem
cq010500_0020,853805281.wem,248041155.wem
cq010500_0110,923269587.wem,405040069.wem
cq010500_0115,300219857.wem,292687561.wem
cq010500_0120,1021786383.wem,673734659.wem
cq010500_0125,798063555.wem,123498932.wem
cq010500_0130,964328431.wem,914209325.wem
cq010500_0140,220432733.wem,256520093.wem
cq010500_0145,611543946.wem,85543863.wem
cq010500_0150,1005285316.wem,93835698.wem
cq010500_0155,137842267.wem,694203555.wem
cq010500_0160,984865802.wem,944968569.wem
cq010500_0170,312940095.wem,766371149.wem
cq010600_0010,696275977.wem,31601021.wem
cq010600_0020,707044127.wem,993390094.wem
cq010600_0030,663575551.wem,747817424.wem
cq010600_0040,916784506.wem,610371058.wem
cq010700_0010,736873715.wem,621463082.wem
cq010700_0015,720650308.wem,788795375.wem
cq010700_0020,394845187.wem,911618651.wem
cq010700_0030,107903174.wem,135064383.wem
cq010700_0040,384842857.wem,291114122.wem
cq010700_0050,376988878.wem,36624800.wem
cq010700_0060,182535720.wem,18594629.wem
cq010700_0070,458397611.wem,669931213.wem
cq010700_0080,421460033.wem,490633517.wem
cq010700_0090,25717898.wem,418791274.wem
cq010700_0095,167803211.wem,410818954.wem
cq010700_0100,562321029.wem,18027370.wem
cq010700_0110,1027112969.wem,978738909.wem
cq010700_0115,976722190.wem,884619003.wem
cq010700_0120,1061144547.wem,1051878831.wem
cq010700_0130,285201442.wem,261991777.wem
cq010700_0135,447263513.wem,1009862187.wem
cq010700_0140,370321093.wem,77804141.wem
cq010700_0145,872233537.wem,931703482.wem
cq010700_0150,369226275.wem,586815650.wem
cq010700_0160,77932636.wem,321150793.wem
cq010700_0170,686032723.wem,879980662.wem
cq010700_0180,558988990.wem,9567352.wem
cq010700_0190,445866038.wem,915341593.wem
cq010700_0195,923106749.wem,981440146.wem
cq010700_0200,542349399.wem,518743127.wem
cq010700_0210,462134562.wem,888699339.wem
cq010700_0220,990510656.wem,644202597.wem
cq010700_0230,879517232.wem,393015845.wem
cq010700_0235,309372625.wem,173423383.wem
cq010700_0240,371647999.wem,527960949.wem
cq010700_0250,828631165.wem,798676914.wem
cq010700_0255,478101073.wem,387670026.wem
cq010700_0260,521825641.wem,886788830.wem
cq010700_0270,605190671.wem,343657438.wem
cq010700_0275,723442336.wem,460679259.wem
cq010701_0030,699060479.wem,363309731.wem
cq010701_0040,37684871.wem,35522323.wem
cq010701_0050,366006467.wem,1024709240.wem
cq010701_0060,1071939348.wem,317302027.wem
cq010701_0070,1046557299.wem,33909566.wem
cq010701_0080,560394782.wem,989100385.wem
cq010701_0090,1072920430.wem,909848339.wem
cq010701_0095,337331035.wem,778555126.wem
cq010701_0100,935223534.wem,659806909.wem
cq010701_0110,978691349.wem,251932729.wem
cq010701_0115,925436102.wem,632700624.wem
cq010701_0120,620996509.wem,373142989.wem
cq010701_0130,425478361.wem,496493711.wem
cq010701_0135,376284603.wem,920286219.wem
cq010701_0140,214365411.wem,611668661.wem
cq010701_0145,223507909.wem,288610076.wem
cq010701_0150,590600772.wem,900094966.wem
cq010701_0160,494147530.wem,952568133.wem
cq010701_0170,477152286.wem,542473634.wem
cq010701_0180,227034010.wem,512023141.wem
cq010701_0190,276058646.wem,352501772.wem
cq010701_0195,285070505.wem,153071431.wem
cq010701_0200,819559059.wem,515017118.wem
cq010701_0210,228064940.wem,686719192.wem
cq010701_0220,914143713.wem,311232950.wem
cq010701_0230,99144756.wem,626709441.wem
cq010701_0235,566238214.wem,643785317.wem
cq010701_0240,432036371.wem,885306331.wem
cq010701_0250,967419417.wem,525626949.wem
cq010701_0255,410641416.wem,429206070.wem
cq010701_0260,284213589.wem,473732601.wem
cq010701_0270,740400417.wem,816207031.wem
cq010701_0275,939264154.wem,586476032.wem
cq010800_0010,294539559.wem,135699917.wem
cq010800_0020,547509908.wem,822723573.wem
cq010800_0025,288317899.wem,843058296.wem
cq010800_0030,6488035.wem,426985342.wem
cq010800_0040,658628953.wem,973400380.wem
cq010800_0045,868387468.wem,179828999.wem
cq010800_0050,579409415.wem,347227574.wem
cq010800_0060,728417602.wem,1026270677.wem
cq010800_0065,178529662.wem,552774399.wem
cq010800_0070,227522063.wem,12381347.wem
cq010800_0080,194172475.wem,772050445.wem
cq010900_0010,269561098.wem,907354496.wem
cq010900_0020,1040433031.wem,496206910.wem
cq010900_0030,175990795.wem,273060827.wem
cq010900_0035,776545577.wem,171919192.wem
cq010900_0040,289032599.wem,164439986.wem
cq010900_0050,571685633.wem,12995743.wem
cq010900_0060,16977124.wem,211157119.wem
cq010900_0065,34355871.wem,249028896.wem
cq010900_0070,735757579.wem,728923971.wem
cq010900_0080,910747245.wem,100764167.wem
cq010900_0090,476645866.wem,308738082.wem
cq010900_0100,687630714.wem,80678260.wem
cq010900_0110,657575074.wem,568738635.wem
cq010900_0120,761177833.wem,954907466.wem
cq010900_0130,691289738.wem,33004362.wem
cq010900_0140,61446260.wem,393244735.wem
cq010900_0150,256984381.wem,487241005.wem
cq010900_0155,289199585.wem,324853106.wem
cq010900_0160,762058330.wem,908714100.wem
cq010900_0165,156644210.wem,584076007.wem
cq011000_0010,901437995.wem,478019500.wem
cq011000_0015,137165859.wem,917544614.wem
cq011000_0020,19767000.wem,353637636.wem
