1D9A5B2B,gimmickAffordance
22556A12,gimmickEnemyAff
33975AC6,gimmickMob
5D8D6C4E,gimmickFixedMob
8C6F24AC,gimmickLocation
8123BF12,gimmickSchedule
E6CEEFD4,gimmickTreasureBox
722F6DD4,gimmickMapJump
E591CF96,gimmickCollection
D01AC65F,gimmickFieldLock
CA425EC1,gimmickEnemyPop
03D42B92,gimmickElevator
256CD187,gimmickElevatorSwitch
749EF690,gimmickElevatorCallSwitch
E74597F5,gimmickElevatorDoor
5198B9D5,gimmickDoor
BC40F69E,gimmickEvent
86B081D1,gimmickPrecious
16ED5C1E,gimmickObject
BA1BE15F,gimmickSuppliesDropping
0EF1103E,gimmickEnemyWave
A4253BCA,gimmickGrave
CEAA3005,gimmickFootPrint
03397BD7,gimmickWeather
F941E5C0,gimmickEtherPoint
2B7999C5,gimmickPreload
063C76AB,gimmickCorpse
6B40A33C,gimmickInterest
04842934,gimmickSE
9446EE90,gimmickBGM
65663358,gimmickFlowEvent
F21E3DF2,gimmickEyepatchArea
7C065528,gimmickEnemyDead
815F9DEF,gimmickIconLocator
41CBF846,gimmickPuzzle
5E93DEC1,gimmickBlackMist
9BDB275E,gimmickGas
3510A3F8,gimmickJumpPortal
D150D99A,RSC_GimmickFile
7A564F60,RSC_GimmickObject
A36067CF,CHR_PC
A5A2B4E7,CHR_Weathering
33F6075F,BTL_Arts_Camera
EC03C979,BTL_Arts_Chain_Set
E7F1965E,BTL_Arts_Cond
3DEC8CBA,BTL_Arts_En
E93EBDDC,BTL_Arts_PC
38946635,BTL_ArtsLinkBonus
7D3620F1,BTL_ArtsSlowDirection
A5079B0E,BTL_BuffDeBuff
8570C79C,BTL_Bullet
72DE28DF,BTL_BulletEffect
D34EA852,BTL_Combo
DC663B47,BTL_ComboDirection
AE22B9EF,BTL_CutInSetting
AFA559C4,BTL_DifSetting
224DB361,BTL_Element
AD08DF86,BTL_Enemy
C1053235,BTL_EnemyAi
C6B4111D,BTL_EnemyDrop_Appoint
FAB21EAA,BTL_EnemyDrop_Material
88BBE290,BTL_EnemyDrop_Normal
63146EA1,BTL_EnFamily
183C80AE,BTL_Enhance
CC978CBF,BTL_EnhanceEff
963389D1,BTL_EnParamTable
A74093B2,BTL_EnRsc
6E79134D,BTL_Event_Param
6BFB2715,BTL_Event_Condition
E312B1C6,BTL_Grow
405C97AC,BTL_HitCameraParam
659CE1C2,BTL_HitDirection
D422E7E2,BTL_HitEffectBase
D8678D4C,BTL_HitEffectSp
BE8B090C,BTL_LvRev
E9E4E964,BTL_MotionState
02BF2924,BTL_Reaction
64BED5F9,BTL_RoleAct
47AEC412,BTL_SetUp
E1BC18F7,BTL_Skill_PC
EDE2F037,BTL_RoleSkill
7ECBAB62,BTL_Stance
998A022B,BTL_TargetLine
5E12B0D2,BTL_Talent
599FEBD8,BTL_TalentAptitude
D1B7B07E,BTL_UroTension
981E4B1E,BTL_WpnType
E165A912,BTL_WpnRsc
3698A4ED,BTL_WpnMount
B2DBA568,BTL_ChainAttackCam
533D78EA,BTL_Achievement
64D43E80,BTL_EnPowerMutation
A1621DDF,BTL_EnSummon
98313F02,SYS_MapList
31F6C033,RSC_MapFile
F242AAFD,FLD_ConditionList
D5315732,FLD_ConditionScenario
DA710DD5,FLD_ConditionQuest
88FAB720,FLD_ConditionEnv
1AFB9A08,FLD_ConditionFlag
3FBC9417,FLD_ConditionItem
1218975C,FLD_ConditionPT
D17681D6,FLD_ConditionMapGimmick
7BBF7CD9,FLD_ConditionPcLv
DA7E656A,FLD_ConditionClassLv
A971E501,SYS_ScenarioFlag
9590836C,ITM_Accessory
B1B9843D,ITM_Gem
740FF3CF,BTL_GemCraft
34E61888,ITM_Collection
DCD7C228,ITM_Collepedia
EBE6EBF4,ITM_Cylinder
6D2A47CA,ITM_Extra
2B0FB3E4,ITM_Info
5A69FC7A,ITM_Precious
CA4B7760,ITM_Exchange
8D233450,bgmlist
173D04D6,RSC_CollectionIcon
CE3F40EB,RSC_GemIcon
949AA63A,ITM_RewardAssort
E418C419,ITM_RewardCollepedia
49125B68,ITM_RewardQuest
D88E0DEB,ITM_RewardGrieve
B7136B52,ITM_RewardDroppedSupplies
FF63B067,SYS_DropItemBehavior
F936594B,GMK_ComSpot
2521C473,FLD_EnemyData
D0DCFD18,SYS_FlowEventList
F08FCF57,SYS_FlowEventFlag
D880C44D,SYS_FlowEventItem
E3AE53B3,SYS_FlowEventLaunchGimmick
09D17C70,SYS_FlowEventArtsStatus
F01E66DE,SYS_FlowEventSkillStatus
D0253D11,SYS_FlowEventArtsSet
8D9A36B7,SYS_NewGamePlusFlag
A263E178,SYS_NewGamePlusSysOpen
23EE284B,EVT_listEv
25B62687,EVT_listFev
BB0F57A4,EVT_listQst
5B1D40C4,EVT_listTlk
3CF65A32,EVT_nearfar
98D41CEB,EVT_MapObjList
9994480F,EVT_Place
ABC5B89C,EVT_HideList
065DE649,EVT_TalkMouth
D8C16C44,EVT_AngleMouth
E36B8F14,EVT_Gradation
88EF0B3C,EVT_Vignette
8B3160C1,EVT_RadialBlur
FE1D4EF0,EVT_Color
81A91D19,EVT_Dof
8ED748D8,EVT_ScreenShake
6BB765F3,EVT_HeroEquip
07705A00,QST_List
FF0E544C,QST_Purpose
6F5361AF,QST_Task
9D8116C2,QST_TaskBattle
0BE50853,QST_TaskTalk
5B1907A1,QST_TaskTalkGroup
1E0A1725,QST_TaskEvent
FCCE91CE,QST_TaskAsk
9D8EAB9A,QST_TaskReach
2EA5675E,QST_TaskChase
49B9F9A4,QST_TaskRequest
5AECB721,QST_TaskCollect
87C02F98,QST_TaskCollepedia
0502353F,QST_TaskGimmick
712B265B,QST_TaskFollow
8C127EEB,QST_TaskCondition
DD6A6032,SYS_MapPartsList
7D09789D,SYS_MapJumpList
A3186E4A,SYS_WeatherRate
5E53D2EE,SYS_WeatherList
9B7727C8,SYS_WeatherTable
69F7C5FB,RSC_WeatherSet
0EE4CBE3,FLD_EnAiBase
E3C4E636,FLD_EnAiSetting
DBF04CEB,FLD_EnMove
278B4C72,RSC_MapObjList
CA6DB16C,SYS_MapObjPartsVisibility
CC1BEC20,FLD_NpcList
26C4093B,FLD_NpcResource
AF0EFB79,FLD_NpcTalkList
7E160E76,FLD_NpcTalkResource
E40DC263,FLD_MobList
965A3DBE,FLD_MobResource
3B776F1F,FLD_InfoList
BFF821BE,SYS_OffsetList
0B368E78,SYS_OrnamentMapParts
A1AE831D,SYS_AccessRange
121A92C9,RSC_IK
91A3DC94,RSC_FootIK
81ED9E19,RSC_PlacementIK
56BD5AC9,RSC_ToeIK
E87BEDBD,RSC_LookAtIK
A57A8FFB,RSC_SpineIK
93BCD4DC,RSC_EyeIK
6B3F1942,RSC_SlopeGroundIK
1432D8A7,MNU_dialog
CD3B3FC3,MNU_action_hud
02913D16,RSC_PcTalentParts
20992C15,SYS_Mount
EC6F90EE,FLD_ObjList
B1963CFD,MNU_ShopList
DCDBDB1F,MNU_ShopTable
B1902C5B,FLD_InterestEventTable
83E0F284,FLD_InterestEventStart
DAF44E8F,FLD_InterestEventReaction
F9349351,MNU_obj_info
FF057327,CHR_UroBody
0828980E,FLD_ColonyList
22F5273E,FLD_KizunaNpc
85A8179F,FLD_KizunaColony
1A109460,MNU_Cloudgem
7CE82B08,MNU_saveload_scenario
2DA282E2,MNU_game_option_category
AA2FA6DE,MNU_EquipDetail
F185DC10,RSC_Story
92D8F17B,FLD_RelationNpc
938A4DD1,FLD_RelationColony
4B91D8C8,FLD_KizunaChangeFlag
C80D5841,FLD_AffCollection
CB74AC0D,SYS_GimmickLocation
35454DAE,SYS_PreciousIDGimmick
0A316038,FLD_CookRecipe
AF5A7B80,FLD_CraftCookList
0D4DD27E,FLD_CraftMealList
6EC8096C,FLD_MealRecipe
3B47669B,QST_RequestItemSet
1FCFB323,SYS_BGMCondition
2CFCAF13,SYS_FlowEventAddFlag
65ACA8AC,SYS_SystemOpen
C0680B9E,SYS_TargetIconStatus
5611DDA6,MNU_GuestIconList
90A6221A,VO_Group
E6E60A3E,VO_Change
F95843F9,VO_Field
6707EF65,VO_BattlePC
8F85EC10,VO_BattleEN
52898612,VO_BattleSP
BCB34762,MNU_TipsList
F1E32CAF,MNU_QuestTask
96ECF5BF,MNU_InputAct
FB06EACE,MNU_InputPad
38031E0F,FLD_DamageFloor
6F56B53C,SYS_CameraShake
A5595837,FLD_MealObject
EED24855,FLD_UMonsterList
13B8DA8C,FLD_ConditionUMonster
3CC7CE2D,FLD_ConditionTutorial
AA6D70CA,MNU_MapInfo
D5696E7F,MNU_MapInfoFile
35D68F4D,SYS_FootPrintDetection
F0F61B4E,SYS_FootPrintOffset
06955984,SYS_EffConvert
5AC778BE,SYS_EffMaterial
226C552C,SYS_EnemyWave1Less
EE61112B,FLD_LookAt
FB616D5F,SYS_CharacterDirection
6009A5C3,SYS_CommonDirection
2BE55EEA,SYS_UniqueDirection
9ADB8D4C,SYS_DirectionBranch
473B9203,SYS_DirectionParam
CBF26BB3,FLD_PerkPermanent
C2CE883D,FLD_PerkResource
DB31DA53,FLD_PerkTemporary
67BCB6FE,SYS_CommonEffect
C2C2933F,FLD_PcTalkAction
40A97F5D,FLD_PcFormation
B8A49792,FLD_NpcTalkAction
32E3254F,QST_NaviMapList
03B52788,SYS_TrialList
F9173812,SYS_TrialPartyInfo
A3CAD8C7,SYS_TrialPcInfo
8C1FA2DE,SYS_Tutorial
03DB7192,SYS_TutorialEnemyInfo
7DEB6EAF,MNU_HeroList
