Dehashed name,WEM name (English),WEM name (日本語)
addkizunatalk001_0010,1034226785.wem,1022854032.wem
addkizunatalk001_0020,1009837109.wem,134402329.wem
addkizunatalk001_0030,954608553.wem,1047369896.wem
addkizunatalk001_0040,991868694.wem,1019830749.wem
addkizunatalk001_0050,401443072.wem,1022579701.wem
addkizunatalk001_0060,137837390.wem,135562253.wem
addkizunatalk001_0070,276738348.wem,238428588.wem
addkizunatalk001_0080,286051338.wem,462012094.wem
addkizunatalk001_0090,902770387.wem,1010182976.wem
addkizunatalk001_0100,6624228.wem,965305311.wem
addkizunatalk001_0110,61517310.wem,747358569.wem
addkizunatalk001_0120,90286116.wem,486162475.wem
addkizunatalk001_0130,942282957.wem,556071467.wem
addkizunatalk001_0140,512815825.wem,814787861.wem
addkizunatalk001_0150,18910400.wem,380700392.wem
addkizunatalk001_0160,1022088747.wem,775874514.wem
addkizunatalk001_0170,589473261.wem,220044467.wem
addkizunatalk001_0180,852749581.wem,802274657.wem
addkizunatalk001_0190,567881810.wem,203397136.wem
addkizunatalk001_0200,747825760.wem,404767179.wem
addkizunatalk001_0210,824559977.wem,568351858.wem
addkizunatalk001_0220,560930392.wem,75299281.wem
addkizunatalk001_0230,677444336.wem,331717590.wem
addkizunatalk001_0240,973450906.wem,352808328.wem
addkizunatalk001_0250,283263343.wem,319915218.wem
addkizunatalk001_0260,524651466.wem,40931206.wem
addkizunatalk001_0270,87813360.wem,471566449.wem
addkizunatalk001_0280,692022239.wem,222287523.wem
addkizunatalk001_0290,98503677.wem,396187352.wem
addkizunatalk001_0300,295127483.wem,395715489.wem
addkizunatalk001_0310,765594834.wem,186141869.wem
addkizunatalk001_0320,491307136.wem,642541918.wem
addkizunatalk001_0330,4911981.wem,763024374.wem
addkizunatalk001_0340,685487645.wem,1051081763.wem
addkizunatalk001_0350,493750.wem,919326212.wem
addkizunatalk001_0360,65161393.wem,871539607.wem
addkizunatalk001_0370,5742564.wem,683320166.wem
addkizunatalk001_0380,138359036.wem,820183178.wem
addkizunatalk001_0390,921853827.wem,486866601.wem
addkizunatalk001_0400,1026581623.wem,142241508.wem
addkizunatalk001_0410,85953277.wem,603796517.wem
addkizunatalk001_0420,726086448.wem,1046096295.wem
addkizunatalk001_0430,438387638.wem,34612680.wem
addkizunatalk001_0440,861903097.wem,50079231.wem
addkizunatalk001_0450,826871343.wem,576345412.wem
addkizunatalk001_0460,54284558.wem,194427689.wem
addkizunatalk001_0470,519802963.wem,903322188.wem
addkizunatalk001_0480,604396611.wem,785102246.wem
addkizunatalk001_0490,763038703.wem,156554474.wem
addkizunatalk001_0500,1025975658.wem,1018150748.wem
addkizunatalk001_0510,624197723.wem,54649444.wem
addkizunatalk001_0520,810316320.wem,854772094.wem
addkizunatalk001_0530,216088895.wem,407372517.wem
addkizunatalk001_0540,1007585440.wem,1051892625.wem
addkizunatalk001_0550,1014403096.wem,563088920.wem
addkizunatalk001_0560,600338206.wem,523472502.wem
addkizunatalk001_0570,982373605.wem,766099137.wem
addkizunatalk001_0580,102674939.wem,82506265.wem
addkizunatalk001_0600,575991167.wem,686454402.wem
